총생활인구수,기온,기압,풍속,운량,일강수량,최대순간풍속풍향,최대풍속풍향,평균풍속,최다풍향,일최심적설,일최심신적설,강수여부,일 미세먼지 농도(㎍/㎥),휴일여부,요일,계절,month,day,영등포구
480111.8037291667,-1.6448615863807197,0.3751677023317252,-0.4624495119463992,-0.4476336302691103,0.0,200,250,1.9,250,0.0,0.0,0.0,46.0,0,3,1,5,13,9872.0
477724.3384416667,-1.935636598322292,0.7012355269043906,-0.3486483487118033,-0.2189335672760021,0.0,250,250,1.7,50,0.0,0.0,0.0,58.0,0,4,1,5,14,9950.0
429887.9317416667,-1.85993615303384,1.0997628680487594,-1.1163786705828187,1.5597946498195852,15.0,110,110,1.7,50,0.0,0.0,1.0,66.0,0,5,1,5,15,2443.0
426103.7807041667,-1.1398859769860523,1.0876862819534754,0.1405644845478372,4.013010407933977,66.9,50,180,2.5,50,0.0,0.0,1.0,14.0,0,6,1,5,16,153.0
476503.1778333333,-0.6132084013461405,0.5321633215704161,-1.6276288452134844,3.460234600422137,3.1,50,50,1.6,50,0.0,0.0,1.0,16.0,0,0,1,5,17,3906.0
477411.2636375,-0.9847841446625192,0.2906315996647378,-0.2654351260983975,0.6766997941597886,0.0,250,270,1.7,270,0.0,0.0,0.0,39.0,0,1,1,5,18,9337.0
427876.4726916666,-1.0136621788810354,-0.0112830527173597,-0.2926028270195214,-0.7574748489335286,0.0,250,250,1.8,270,0.0,0.0,0.0,41.0,1,2,1,5,19,10316.0
473503.41785416665,-0.9806969120225962,0.1094828082354792,2.3333745266263524,0.0566322756995294,0.9,110,90,2.5,50,0.0,0.0,1.0,27.0,0,3,1,5,20,5005.0
474572.10466666665,-0.6973903086030837,0.4717803910939963,-0.4913273327175566,2.6068159383827783,6.9,50,50,1.7,290,0.0,0.0,1.0,22.0,0,4,1,5,21,6360.0
429845.58797083335,-1.0153474247177148,0.3147847718553057,1.3226507996358488,0.5362062512476039,0.2,250,270,2.5,250,0.0,0.0,1.0,40.0,0,5,1,5,22,10272.0
422576.31365,-1.1396133322832311,0.3027081857600217,0.0759683636053907,0.4388013670297822,0.0,270,270,1.7,270,0.0,0.0,0.0,52.0,0,6,1,5,23,9007.0
476001.6185125,-1.1603686983431771,0.1940189109024667,0.8997442071686873,-0.4853010461146351,0.0,270,270,2.7,250,0.0,0.0,0.0,110.0,0,0,1,5,24,9760.0
480368.979325,-0.4602169344403543,0.0732530499496277,2.948165145391417,0.4182716390287002,8.3,270,250,3.2,250,0.0,0.0,1.0,86.0,0,1,1,5,25,6657.0
480451.05763750005,-0.701449653028097,-0.0354362249079274,2.530388912474354,-0.4723255606896757,0.0,200,200,2.9,200,0.0,0.0,0.0,44.0,0,2,1,5,26,9013.0
478456.64395,-0.6645457468067362,0.3751677023317252,0.646684299628404,1.550159306033721,8.9,180,230,2.8,200,0.0,0.0,1.0,53.0,0,3,1,5,27,4981.0
477144.74292916665,-0.6170318572301111,0.3751677023317252,0.8522492847265702,2.285258274722754,12.3,250,230,2.6,250,0.0,0.0,1.0,0.0,0,4,1,5,28,5024.0
428108.30463333335,-0.5674144038910197,0.2544018413788862,-0.71379929963665,1.7015472331611234,0.3,230,250,2.2,50,0.0,0.0,1.0,31.0,0,5,1,5,29,4396.0
423305.3516625,-0.9907030960026006,0.3510145301411573,3.984346453453012,0.450465913507845,18.1,270,270,2.1,50,0.0,0.0,1.0,0.0,0,6,1,5,30,7038.0
478052.9326291666,-1.3522447752629774,0.7616184573808101,-1.287935475359729,1.830761310726668,4.0,20,50,1.8,50,0.0,0.0,1.0,59.0,0,0,1,5,31,7974.0
